pair,name,operations,sample,wall_ns,allocated_words
1,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,2,4040.328349,4027.000343
1,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,3,4039.809937,4027.000343
1,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,4,4052.064469,4027.000343
1,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,5,4054.039891,4027.000343
1,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,6,4051.253200,4027.000343
1,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,7,4046.203685,4027.000343
1,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,8,4056.724720,4027.000343
1,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,9,4056.884791,4027.000343
1,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,1,3436.211045,3667.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,2,3435.749022,3667.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,3,3428.298442,3667.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,4,3429.890057,3667.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,5,3419.280802,3667.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,6,3434.192877,3667.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,7,3448.761163,3667.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,8,3446.560186,3667.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,9,3423.226190,3667.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,1,3750.610631,3827.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,2,3741.954970,3827.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,3,3727.527655,3827.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,4,3747.150004,3827.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,5,3753.849342,3827.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,6,3754.581485,3827.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,7,3757.439117,3827.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,8,3733.341146,3827.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,9,3713.234037,3827.000172
1,eta_signal.public_sync.successful.depth_100.position_none,65536,1,11303.069186,8791.000687
1,eta_signal.public_sync.successful.depth_100.position_none,65536,2,11316.114978,8791.000687
1,eta_signal.public_sync.successful.depth_100.position_none,65536,3,11312.655261,8791.000687
1,eta_signal.public_sync.successful.depth_100.position_none,65536,4,11339.951016,8791.000687
1,eta_signal.public_sync.successful.depth_100.position_none,65536,5,11323.259969,8791.000687
1,eta_signal.public_sync.successful.depth_100.position_none,65536,6,11335.752788,8791.000687
1,eta_signal.public_sync.successful.depth_100.position_none,65536,7,11317.337339,8791.000687
1,eta_signal.public_sync.successful.depth_100.position_none,65536,8,11325.133528,8791.000687
1,eta_signal.public_sync.successful.depth_100.position_none,65536,9,11337.964679,8791.000687
1,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,1,19140.257791,13747.001373
1,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,2,19165.134290,13747.001373
1,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,3,19190.185412,13747.001373
1,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,4,19186.125428,13747.001373
1,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,5,19183.440600,13747.001373
1,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,6,19185.848942,13747.001373
1,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,7,19153.718313,13747.001373
1,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,8,19197.541405,13747.001373
1,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,9,19182.094547,13747.001373
2,eta_signal.raw.successful.depth_1.position_none,1048576,1,634.070602,797.000227
2,eta_signal.raw.successful.depth_1.position_none,1048576,2,634.113348,797.000227
2,eta_signal.raw.successful.depth_1.position_none,1048576,3,634.560593,797.000227
2,eta_signal.raw.successful.depth_1.position_none,1048576,4,635.672450,797.000227
2,eta_signal.raw.successful.depth_1.position_none,1048576,5,634.518756,797.000227
2,eta_signal.raw.successful.depth_1.position_none,1048576,6,634.984872,797.000227
2,eta_signal.raw.successful.depth_1.position_none,1048576,7,635.207243,797.000227
2,eta_signal.raw.successful.depth_1.position_none,1048576,8,642.340638,797.000227
2,eta_signal.raw.successful.depth_1.position_none,1048576,9,641.911583,797.000227
2,eta_signal.raw.failed_retry.depth_1.position_last,524288,1,1041.206360,1227.000454
