pair,boundary,side,workload,operations,sample,wall_ns,allocated_words
1,public,finalist,dynamic.switch,16384,5,228096.061619,4073.005127
1,public,finalist,dynamic.switch,16384,6,259676.875430,4089.007874
1,public,finalist,dynamic.switch,16384,7,298709.361232,4073.005127
1,public,finalist,dynamic.switch,16384,8,311805.662932,4073.005127
1,public,finalist,dynamic.switch,16384,9,354875.432095,4073.005127
1,raw,reference,map.data_change.10000,2097152,1,299.315843,186.000005
1,raw,reference,map.data_change.10000,2097152,2,293.559992,186.000005
1,raw,reference,map.data_change.10000,2097152,3,293.203357,186.000005
1,raw,reference,map.data_change.10000,2097152,4,306.462198,186.000005
1,raw,reference,map.data_change.10000,2097152,5,295.912741,186.000005
1,raw,reference,map.data_change.10000,2097152,6,293.773724,186.000005
1,raw,reference,map.data_change.10000,2097152,7,285.812916,186.000005
1,raw,reference,map.data_change.10000,2097152,8,287.963417,186.000005
1,raw,reference,map.data_change.10000,2097152,9,288.016395,186.000005
1,raw,finalist,map.data_change.10000,4194304,1,211.905956,214.000002
1,raw,finalist,map.data_change.10000,4194304,2,213.505245,214.000002
1,raw,finalist,map.data_change.10000,4194304,3,213.489045,214.000002
1,raw,finalist,map.data_change.10000,4194304,4,214.509498,214.000002
1,raw,finalist,map.data_change.10000,4194304,5,212.851489,214.000002
1,raw,finalist,map.data_change.10000,4194304,6,213.575106,214.000002
1,raw,finalist,map.data_change.10000,4194304,7,213.774911,214.000002
1,raw,finalist,map.data_change.10000,4194304,8,216.036824,214.000002
1,raw,finalist,map.data_change.10000,4194304,9,213.682881,214.000002
1,public,reference,map.data_change.10000,2097152,1,293.006792,186.000005
1,public,reference,map.data_change.10000,2097152,2,287.168064,186.000005
1,public,reference,map.data_change.10000,2097152,3,282.727797,186.000005
1,public,reference,map.data_change.10000,2097152,4,302.820240,186.000005
1,public,reference,map.data_change.10000,2097152,5,308.666699,186.000005
1,public,reference,map.data_change.10000,2097152,6,308.526523,186.000005
1,public,reference,map.data_change.10000,2097152,7,280.050244,186.000005
1,public,reference,map.data_change.10000,2097152,8,280.764084,186.000005
1,public,reference,map.data_change.10000,2097152,9,281.663461,186.000005
1,public,finalist,map.data_change.10000,4096,1,169347.389601,4257.020508
1,public,finalist,map.data_change.10000,4096,2,169458.740856,4257.020508
1,public,finalist,map.data_change.10000,4096,3,169261.940755,4257.020508
1,public,finalist,map.data_change.10000,4096,4,169274.164364,4257.020508
1,public,finalist,map.data_change.10000,4096,5,168916.012626,4257.020508
1,public,finalist,map.data_change.10000,4096,6,168758.037034,4257.020508
1,public,finalist,map.data_change.10000,4096,7,168730.970472,4257.020508
1,public,finalist,map.data_change.10000,4096,8,168863.043655,4257.020508
1,public,finalist,map.data_change.10000,4096,9,168924.336322,4257.020508
1,raw,reference,map.data_change.100000,2097152,1,364.993070,234.000005
1,raw,reference,map.data_change.100000,2097152,2,354.423946,234.000005
1,raw,reference,map.data_change.100000,2097152,3,350.976961,234.000005
1,raw,reference,map.data_change.100000,2097152,4,348.378649,234.000005
1,raw,reference,map.data_change.100000,2097152,5,346.196202,234.000005
1,raw,reference,map.data_change.100000,2097152,6,345.312174,234.000005
