pair,side,name,operations,sample,wall_ns,allocated_words
2,reference,failed_retry.depth_1.position_last,65536,4,10204.177670,7717.001221
2,reference,failed_retry.depth_1.position_last,65536,5,10235.642549,7717.001221
2,reference,failed_retry.depth_1.position_last,65536,6,10246.352758,7717.001221
2,reference,failed_retry.depth_1.position_last,65536,7,10222.702258,7717.001221
2,reference,failed_retry.depth_1.position_last,65536,8,10059.327906,7717.001221
2,reference,failed_retry.depth_1.position_last,65536,9,10051.819118,7717.001221
2,candidate,failed_retry.depth_1.position_last,131072,1,4455.359885,3026.000610
2,candidate,failed_retry.depth_1.position_last,131072,2,4463.752703,3026.000610
2,candidate,failed_retry.depth_1.position_last,131072,3,4462.455763,3026.000610
2,candidate,failed_retry.depth_1.position_last,131072,4,4466.131941,3026.000610
2,candidate,failed_retry.depth_1.position_last,131072,5,4460.349373,3026.000610
2,candidate,failed_retry.depth_1.position_last,131072,6,4465.431630,3026.000610
2,candidate,failed_retry.depth_1.position_last,131072,7,4476.623872,3026.000610
2,candidate,failed_retry.depth_1.position_last,131072,8,4476.623872,3026.000610
2,candidate,failed_retry.depth_1.position_last,131072,9,4485.382306,3026.000610
2,reference,failed_retry.depth_10.position_last,65536,1,12825.425074,9211.001221
2,reference,failed_retry.depth_10.position_last,65536,2,12914.519175,9211.001221
2,reference,failed_retry.depth_10.position_last,65536,3,12937.180145,9211.001221
2,reference,failed_retry.depth_10.position_last,65536,4,12926.317140,9211.001221
2,reference,failed_retry.depth_10.position_last,65536,5,12917.524145,9211.001221
2,reference,failed_retry.depth_10.position_last,65536,6,12905.256881,9211.001221
2,reference,failed_retry.depth_10.position_last,65536,7,12849.730410,9211.001221
2,reference,failed_retry.depth_10.position_last,65536,8,12693.450117,9211.001221
2,reference,failed_retry.depth_10.position_last,65536,9,12732.056348,9211.001221
2,candidate,failed_retry.depth_10.position_last,131072,1,6068.634320,3368.000610
2,candidate,failed_retry.depth_10.position_last,131072,2,6065.964044,3368.000610
2,candidate,failed_retry.depth_10.position_last,131072,3,6104.415661,3368.000610
