pair,name,graph_size,operations,sample,wall_ns,allocated_words
1,incremental.a.raw.int.changed.depth_10,11,8388608,6,96.287238,0.000001
1,incremental.a.raw.int.changed.depth_10,11,8388608,7,96.410020,0.000001
1,incremental.a.raw.int.changed.depth_10,11,8388608,8,100.256187,0.000001
1,incremental.a.raw.int.changed.depth_10,11,8388608,9,101.957340,0.000001
1,a.int.changed.depth_10,11,8388608,1,93.447085,4.000001
1,a.int.changed.depth_10,11,8388608,2,90.308049,4.000001
1,a.int.changed.depth_10,11,8388608,3,90.249301,4.000001
1,a.int.changed.depth_10,11,8388608,4,90.326523,4.000001
1,a.int.changed.depth_10,11,8388608,5,89.793815,4.000001
1,a.int.changed.depth_10,11,8388608,6,89.551918,4.000001
1,a.int.changed.depth_10,11,8388608,7,89.506045,4.000001
1,a.int.changed.depth_10,11,8388608,8,90.452090,4.000001
1,a.int.changed.depth_10,11,8388608,9,93.946795,4.000001
1,incremental.b.raw.int.changed.depth_10,11,8388608,1,101.489064,0.000001
1,incremental.b.raw.int.changed.depth_10,11,8388608,2,102.103115,0.000001
1,incremental.b.raw.int.changed.depth_10,11,8388608,3,102.128865,0.000001
1,incremental.b.raw.int.changed.depth_10,11,8388608,4,102.249487,0.000001
1,incremental.b.raw.int.changed.depth_10,11,8388608,5,102.229222,0.000001
1,incremental.b.raw.int.changed.depth_10,11,8388608,6,102.722765,0.000001
1,incremental.b.raw.int.changed.depth_10,11,8388608,7,102.850663,0.000001
1,incremental.b.raw.int.changed.depth_10,11,8388608,8,102.266796,0.000001
1,incremental.b.raw.int.changed.depth_10,11,8388608,9,101.591468,0.000001
1,b.int.changed.depth_10,11,8388608,1,93.514558,4.000001
1,b.int.changed.depth_10,11,8388608,2,98.849171,4.000001
1,b.int.changed.depth_10,11,8388608,3,98.855253,4.000001
1,b.int.changed.depth_10,11,8388608,4,96.518875,4.000001
1,b.int.changed.depth_10,11,8388608,5,98.341218,4.000001
1,b.int.changed.depth_10,11,8388608,6,97.668760,4.000001
1,b.int.changed.depth_10,11,8388608,7,102.501616,4.000001
1,b.int.changed.depth_10,11,8388608,8,102.417602,4.000001
1,b.int.changed.depth_10,11,8388608,9,102.480300,4.000001
1,incremental.c.raw.int.changed.depth_10,11,8388608,1,105.820419,0.000001
1,incremental.c.raw.int.changed.depth_10,11,8388608,2,100.228078,0.000001
1,incremental.c.raw.int.changed.depth_10,11,8388608,3,97.054595,0.000001
1,incremental.c.raw.int.changed.depth_10,11,8388608,4,95.857132,0.000001
1,incremental.c.raw.int.changed.depth_10,11,8388608,5,97.045074,0.000001
1,incremental.c.raw.int.changed.depth_10,11,8388608,6,97.014436,0.000001
1,incremental.c.raw.int.changed.depth_10,11,8388608,7,97.144124,0.000001
1,incremental.c.raw.int.changed.depth_10,11,8388608,8,97.104532,0.000001
1,incremental.c.raw.int.changed.depth_10,11,8388608,9,97.212194,0.000001
1,c.int.changed.depth_10,11,8388608,1,123.179206,4.000001
1,c.int.changed.depth_10,11,8388608,2,123.483431,4.000001
1,c.int.changed.depth_10,11,8388608,3,114.044894,4.000001
1,c.int.changed.depth_10,11,8388608,4,109.004731,4.000001
1,c.int.changed.depth_10,11,8388608,5,109.825379,4.000001
1,c.int.changed.depth_10,11,8388608,6,110.414021,4.000001
1,c.int.changed.depth_10,11,8388608,7,109.424008,4.000001
1,c.int.changed.depth_10,11,8388608,8,114.223496,4.000001
1,c.int.changed.depth_10,11,8388608,9,110.196595,4.000001
1,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,1,100.654461,0.000001
1,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,2,100.591791,0.000001
1,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,3,100.659719,0.000001
1,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,4,99.416269,0.000001
1,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,5,100.317351,0.000001
1,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,6,100.568286,0.000001
1,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,7,101.158264,0.000001
