pair,name,graph_size,operations,sample,wall_ns,allocated_words
2,incremental.raw.keyed.data.100000,100000,2097152,2,338.367499,228.000005
2,incremental.raw.keyed.data.100000,100000,2097152,3,339.945245,228.000005
2,incremental.raw.keyed.data.100000,100000,2097152,4,339.453209,228.000005
2,incremental.raw.keyed.data.100000,100000,2097152,5,339.664894,228.000005
2,incremental.raw.keyed.data.100000,100000,2097152,6,336.092967,228.000005
2,incremental.raw.keyed.data.100000,100000,2097152,7,322.900291,228.000005
2,incremental.raw.keyed.data.100000,100000,2097152,8,313.464625,228.000005
2,incremental.raw.keyed.data.100000,100000,2097152,9,316.553610,228.000005
2,capsule.raw.keyed.data.100000,100000,4194304,1,126.230475,208.000002
2,capsule.raw.keyed.data.100000,100000,4194304,2,126.075975,208.000002
2,capsule.raw.keyed.data.100000,100000,4194304,3,128.241311,208.000002
2,capsule.raw.keyed.data.100000,100000,4194304,4,128.706006,208.000002
2,capsule.raw.keyed.data.100000,100000,4194304,5,128.349996,208.000002
2,capsule.raw.keyed.data.100000,100000,4194304,6,126.695682,208.000002
2,capsule.raw.keyed.data.100000,100000,4194304,7,126.254349,208.000002
2,capsule.raw.keyed.data.100000,100000,4194304,8,126.121051,208.000002
2,capsule.raw.keyed.data.100000,100000,4194304,9,129.044508,208.000002
2,incremental.raw.keyed.membership.10000,10000,2097152,1,426.428869,343.500005
2,incremental.raw.keyed.membership.10000,10000,2097152,2,430.374143,343.500005
2,incremental.raw.keyed.membership.10000,10000,2097152,3,425.027338,343.500005
2,incremental.raw.keyed.membership.10000,10000,2097152,4,431.136641,343.500005
2,incremental.raw.keyed.membership.10000,10000,2097152,5,426.467977,343.500005
2,incremental.raw.keyed.membership.10000,10000,2097152,6,428.853923,343.500005
2,incremental.raw.keyed.membership.10000,10000,2097152,7,427.607119,343.500005
2,incremental.raw.keyed.membership.10000,10000,2097152,8,427.762529,343.500005
2,incremental.raw.keyed.membership.10000,10000,2097152,9,429.079478,343.500005
2,capsule.raw.keyed.membership.10000,10000,4194304,1,155.504722,269.000002
2,capsule.raw.keyed.membership.10000,10000,4194304,2,153.988367,269.000002
2,capsule.raw.keyed.membership.10000,10000,4194304,3,157.802106,269.000002
2,capsule.raw.keyed.membership.10000,10000,4194304,4,158.677324,269.000002
2,capsule.raw.keyed.membership.10000,10000,4194304,5,156.629085,269.000002
2,capsule.raw.keyed.membership.10000,10000,4194304,6,151.921313,269.000002
2,capsule.raw.keyed.membership.10000,10000,4194304,7,150.799281,269.000002
2,capsule.raw.keyed.membership.10000,10000,4194304,8,144.603007,269.000002
2,capsule.raw.keyed.membership.10000,10000,4194304,9,144.267290,269.000002
2,incremental.raw.keyed.membership.100000,100000,1048576,1,536.809011,433.500010
2,incremental.raw.keyed.membership.100000,100000,1048576,2,521.576794,433.500010
