pair,name,graph_size,operations,sample,wall_ns,allocated_words
2,b.changed.depth_10,11,16777216,4,46.643549,4.000001
2,b.changed.depth_10,11,16777216,5,46.681819,4.000001
2,b.changed.depth_10,11,16777216,6,46.656481,4.000001
2,b.changed.depth_10,11,16777216,7,46.656723,4.000001
2,b.changed.depth_10,11,16777216,8,46.667466,4.000001
2,b.changed.depth_10,11,16777216,9,46.672469,4.000001
2,incremental.raw.changed.depth_100,101,524288,1,1031.890861,0.000019
2,incremental.raw.changed.depth_100,101,524288,2,1032.590717,0.000019
2,incremental.raw.changed.depth_100,101,524288,3,1032.221007,0.000019
2,incremental.raw.changed.depth_100,101,524288,4,1031.374268,0.000019
2,incremental.raw.changed.depth_100,101,524288,5,1031.965439,0.000019
2,incremental.raw.changed.depth_100,101,524288,6,1032.567980,0.000019
2,incremental.raw.changed.depth_100,101,524288,7,1033.849912,0.000019
2,incremental.raw.changed.depth_100,101,524288,8,1032.153705,0.000019
2,incremental.raw.changed.depth_100,101,524288,9,1032.167347,0.000019
2,b.changed.depth_100,101,2097152,1,373.793569,4.000005
2,b.changed.depth_100,101,2097152,2,373.851321,4.000005
2,b.changed.depth_100,101,2097152,3,373.441253,4.000005
2,b.changed.depth_100,101,2097152,4,374.134629,4.000005
2,b.changed.depth_100,101,2097152,5,373.257194,4.000005
2,b.changed.depth_100,101,2097152,6,373.812668,4.000005
2,b.changed.depth_100,101,2097152,7,373.667717,4.000005
2,b.changed.depth_100,101,2097152,8,373.949433,4.000005
2,b.changed.depth_100,101,2097152,9,373.812099,4.000005
2,incremental.raw.cutoff.depth_10,12,16777216,1,30.685840,0.000001
2,incremental.raw.cutoff.depth_10,12,16777216,2,30.682685,0.000001
2,incremental.raw.cutoff.depth_10,12,16777216,3,30.695077,0.000001
2,incremental.raw.cutoff.depth_10,12,16777216,4,30.684646,0.000001
2,incremental.raw.cutoff.depth_10,12,16777216,5,30.676773,0.000001
2,incremental.raw.cutoff.depth_10,12,16777216,6,30.670762,0.000001
2,incremental.raw.cutoff.depth_10,12,16777216,7,30.689009,0.000001
2,incremental.raw.cutoff.depth_10,12,16777216,8,30.683637,0.000001
2,incremental.raw.cutoff.depth_10,12,16777216,9,30.707298,0.000001
2,b.cutoff.depth_10,12,16777216,1,12.085437,4.000001
2,b.cutoff.depth_10,12,16777216,2,12.099861,4.000001
2,b.cutoff.depth_10,12,16777216,3,12.097061,4.000001
2,b.cutoff.depth_10,12,16777216,4,11.778525,4.000001
2,b.cutoff.depth_10,12,16777216,5,11.496311,4.000001
2,b.cutoff.depth_10,12,16777216,6,11.484147,4.000001
2,b.cutoff.depth_10,12,16777216,7,11.485696,4.000001
2,b.cutoff.depth_10,12,16777216,8,11.484687,4.000001
2,b.cutoff.depth_10,12,16777216,9,11.486478,4.000001
2,b.lifecycle.create.graph_8,8,16777216,1,23.730465,15.000001
2,b.lifecycle.create.graph_8,8,16777216,2,23.758645,15.000001
2,b.lifecycle.create.graph_8,8,16777216,3,23.843057,15.000001
2,b.lifecycle.create.graph_8,8,16777216,4,23.849495,15.000001
2,b.lifecycle.create.graph_8,8,16777216,5,23.852408,15.000001
2,b.lifecycle.create.graph_8,8,16777216,6,23.837757,15.000001
2,b.lifecycle.create.graph_8,8,16777216,7,23.779862,15.000001
2,b.lifecycle.create.graph_8,8,16777216,8,23.824029,15.000001
2,b.lifecycle.create.graph_8,8,16777216,9,23.814152,15.000001
2,b.lifecycle.retire_cleanup.graph_8,8,16777216,1,18.185972,13.000001
2,b.lifecycle.retire_cleanup.graph_8,8,16777216,2,18.340941,13.000001
2,b.lifecycle.retire_cleanup.graph_8,8,16777216,3,18.307858,13.000001
2,b.lifecycle.retire_cleanup.graph_8,8,16777216,4,18.206350,13.000001
2,b.lifecycle.retire_cleanup.graph_8,8,16777216,5,18.189795,13.000001
2,b.lifecycle.retire_cleanup.graph_8,8,16777216,6,18.211892,13.000001
2,b.lifecycle.retire_cleanup.graph_8,8,16777216,7,18.304760,13.000001
2,b.lifecycle.retire_cleanup.graph_8,8,16777216,8,18.303098,13.000001
2,b.lifecycle.retire_cleanup.graph_8,8,16777216,9,18.178227,13.000001
2,b.lifecycle.reuse.graph_8,8,16777216,1,16.457193,13.000001
2,b.lifecycle.reuse.graph_8,8,16777216,2,16.472811,13.000001
2,b.lifecycle.reuse.graph_8,8,16777216,3,16.470906,13.000001
2,b.lifecycle.reuse.graph_8,8,16777216,4,16.460064,13.000001
2,b.lifecycle.reuse.graph_8,8,16777216,5,16.456241,13.000001
2,b.lifecycle.reuse.graph_8,8,16777216,6,16.463162,13.000001
2,b.lifecycle.reuse.graph_8,8,16777216,7,16.906611,13.000001
2,b.lifecycle.reuse.graph_8,8,16777216,8,17.180085,13.000001
2,b.lifecycle.reuse.graph_8,8,16777216,9,17.172042,13.000001
2,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,1,14.707098,5.000001
2,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,2,15.160325,5.000001
2,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,3,15.268441,5.000001
2,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,4,14.714772,5.000001
2,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,5,14.912786,5.000001
2,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,6,15.375321,5.000001
2,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,7,14.871830,5.000001
2,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,8,14.735463,5.000001
2,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,9,15.080573,5.000001
3,incremental.raw.changed.depth_1,2,16777216,1,32.606962,0.000001
3,incremental.raw.changed.depth_1,2,16777216,2,31.429892,0.000001
