pair,name,operations,sample,wall_ns,allocated_words
2,plan.changed.depth_100,2097152,3,304.551577,108.000005
2,plan.changed.depth_100,2097152,4,303.938464,108.000005
2,plan.changed.depth_100,2097152,5,304.056584,108.000005
2,plan.changed.depth_100,2097152,6,303.869228,108.000005
2,plan.changed.depth_100,2097152,7,303.969387,108.000005
2,plan.changed.depth_100,2097152,8,303.536922,108.000005
2,plan.changed.depth_100,2097152,9,303.683805,108.000005
2,plan.cutoff.depth_10,16777216,1,13.113251,19.000001
2,plan.cutoff.depth_10,16777216,2,13.137225,19.000001
2,plan.cutoff.depth_10,16777216,3,13.113620,19.000001
2,plan.cutoff.depth_10,16777216,4,13.113791,19.000001
2,plan.cutoff.depth_10,16777216,5,13.141104,19.000001
2,plan.cutoff.depth_10,16777216,6,13.137281,19.000001
2,plan.cutoff.depth_10,16777216,7,13.117671,19.000001
2,plan.cutoff.depth_10,16777216,8,13.143719,19.000001
2,plan.cutoff.depth_10,16777216,9,13.141701,19.000001
2,incremental.raw.changed.depth_1,16777216,1,32.847467,0.000001
2,incremental.raw.changed.depth_1,16777216,2,32.827316,0.000001
2,incremental.raw.changed.depth_1,16777216,3,32.690409,0.000001
2,incremental.raw.changed.depth_1,16777216,4,31.873469,0.000001
2,incremental.raw.changed.depth_1,16777216,5,32.221138,0.000001
2,incremental.raw.changed.depth_1,16777216,6,32.210636,0.000001
2,incremental.raw.changed.depth_1,16777216,7,31.950648,0.000001
2,incremental.raw.changed.depth_1,16777216,8,31.733336,0.000001
2,incremental.raw.changed.depth_1,16777216,9,31.711167,0.000001
2,raw.changed.depth_1,16777216,1,19.757692,4.000001
2,raw.changed.depth_1,16777216,2,19.990139,4.000001
2,raw.changed.depth_1,16777216,3,19.952054,4.000001
2,raw.changed.depth_1,16777216,4,19.942220,4.000001
2,raw.changed.depth_1,16777216,5,19.942888,4.000001
2,raw.changed.depth_1,16777216,6,19.616010,4.000001
2,raw.changed.depth_1,16777216,7,19.330372,4.000001
2,raw.changed.depth_1,16777216,8,19.325682,4.000001
2,raw.changed.depth_1,16777216,9,19.332958,4.000001
2,incremental.raw.changed.depth_10,8388608,1,100.064767,0.000001
2,incremental.raw.changed.depth_10,8388608,2,97.052435,0.000001
2,incremental.raw.changed.depth_10,8388608,3,96.797123,0.000001
2,incremental.raw.changed.depth_10,8388608,4,99.932294,0.000001
2,incremental.raw.changed.depth_10,8388608,5,100.656280,0.000001
2,incremental.raw.changed.depth_10,8388608,6,96.787716,0.000001
2,incremental.raw.changed.depth_10,8388608,7,96.605788,0.000001
2,incremental.raw.changed.depth_10,8388608,8,96.710664,0.000001
2,incremental.raw.changed.depth_10,8388608,9,96.769696,0.000001
2,raw.changed.depth_10,16777216,1,51.213149,4.000001
2,raw.changed.depth_10,16777216,2,51.105260,4.000001
2,raw.changed.depth_10,16777216,3,51.117482,4.000001
2,raw.changed.depth_10,16777216,4,51.104237,4.000001
2,raw.changed.depth_10,16777216,5,51.086303,4.000001
2,raw.changed.depth_10,16777216,6,51.146628,4.000001
2,raw.changed.depth_10,16777216,7,52.447746,4.000001
2,raw.changed.depth_10,16777216,8,52.729490,4.000001
2,raw.changed.depth_10,16777216,9,52.694332,4.000001
2,incremental.raw.changed.depth_100,1048576,1,1048.524837,0.000010
2,incremental.raw.changed.depth_100,1048576,2,1047.725618,0.000010
2,incremental.raw.changed.depth_100,1048576,3,1004.330670,0.000010
2,incremental.raw.changed.depth_100,1048576,4,981.801122,0.000010
2,incremental.raw.changed.depth_100,1048576,5,980.502136,0.000010
2,incremental.raw.changed.depth_100,1048576,6,981.467338,0.000010
2,incremental.raw.changed.depth_100,1048576,7,980.647883,0.000010
2,incremental.raw.changed.depth_100,1048576,8,981.293624,0.000010
2,incremental.raw.changed.depth_100,1048576,9,981.224957,0.000010
2,raw.changed.depth_100,1048576,1,523.195240,4.000010
2,raw.changed.depth_100,1048576,2,522.485607,4.000010
2,raw.changed.depth_100,1048576,3,522.378969,4.000010
2,raw.changed.depth_100,1048576,4,522.689788,4.000010
2,raw.changed.depth_100,1048576,5,520.064305,4.000010
2,raw.changed.depth_100,1048576,6,520.352387,4.000010
2,raw.changed.depth_100,1048576,7,521.007678,4.000010
2,raw.changed.depth_100,1048576,8,521.473794,4.000010
2,raw.changed.depth_100,1048576,9,521.666379,4.000010
2,incremental.raw.cutoff.depth_10,16777216,1,31.136977,0.000001
2,incremental.raw.cutoff.depth_10,16777216,2,30.890178,0.000001
2,incremental.raw.cutoff.depth_10,16777216,3,30.878667,0.000001
2,incremental.raw.cutoff.depth_10,16777216,4,30.886653,0.000001
2,incremental.raw.cutoff.depth_10,16777216,5,30.912105,0.000001
2,incremental.raw.cutoff.depth_10,16777216,6,30.889154,0.000001
2,incremental.raw.cutoff.depth_10,16777216,7,30.879136,0.000001
2,incremental.raw.cutoff.depth_10,16777216,8,30.891002,0.000001
2,incremental.raw.cutoff.depth_10,16777216,9,30.932540,0.000001
2,raw.cutoff.depth_10,16777216,1,18.844958,4.000001
2,raw.cutoff.depth_10,16777216,2,18.865052,4.000001
2,raw.cutoff.depth_10,16777216,3,18.858017,4.000001
2,raw.cutoff.depth_10,16777216,4,18.851750,4.000001
2,raw.cutoff.depth_10,16777216,5,18.851878,4.000001
2,raw.cutoff.depth_10,16777216,6,18.854507,4.000001
2,raw.cutoff.depth_10,16777216,7,18.853655,4.000001
2,raw.cutoff.depth_10,16777216,8,18.890802,4.000001
2,raw.cutoff.depth_10,16777216,9,18.866061,4.000001
2,raw.fan_in.diamond,8388608,1,64.592115,16.000001
2,raw.fan_in.diamond,8388608,2,64.748406,16.000001
2,raw.fan_in.diamond,8388608,3,64.807892,16.000001
2,raw.fan_in.diamond,8388608,4,64.821734,16.000001
2,raw.fan_in.diamond,8388608,5,65.090887,16.000001
2,raw.fan_in.diamond,8388608,6,62.902700,16.000001
2,raw.fan_in.diamond,8388608,7,60.395848,16.000001
2,raw.fan_in.diamond,8388608,8,60.425890,16.000001
2,raw.fan_in.diamond,8388608,9,60.588007,16.000001
3,plan.changed.depth_1,16777216,1,12.728805,9.000001
3,plan.changed.depth_1,16777216,2,12.730297,9.000001
3,plan.changed.depth_1,16777216,3,12.748288,9.000001
3,plan.changed.depth_1,16777216,4,12.740799,9.000001
3,plan.changed.depth_1,16777216,5,12.742461,9.000001
3,plan.changed.depth_1,16777216,6,12.733821,9.000001
3,plan.changed.depth_1,16777216,7,12.726133,9.000001
3,plan.changed.depth_1,16777216,8,12.737033,9.000001
3,plan.changed.depth_1,16777216,9,12.754086,9.000001
3,plan.changed.depth_10,16777216,1,37.063359,18.000001
3,plan.changed.depth_10,16777216,2,37.252008,18.000001
3,plan.changed.depth_10,16777216,3,37.001072,18.000001
