name,pair,operations,sample,wall_ns,allocated_words
eta_signal.effect_seam.driver_sync.depth_100,1,4194304,3,226.129316,106.000009
eta_signal.effect_seam.driver_sync.depth_100,1,4194304,4,227.530052,106.000009
eta_signal.effect_seam.driver_sync.depth_100,1,4194304,5,227.395276,106.000009
eta_signal.effect_seam.driver_sync.depth_100,1,4194304,6,227.095370,106.000009
eta_signal.effect_seam.driver_sync.depth_100,1,4194304,7,227.753901,106.000009
eta_signal.effect_seam.driver_sync.depth_100,1,4194304,8,227.606790,106.000009
eta_signal.effect_seam.driver_sync.depth_100,1,4194304,9,231.890226,106.000009
eta_signal.effect_seam.public_sync.depth_100,1,2097152,1,360.264380,204.000018
eta_signal.effect_seam.public_sync.depth_100,1,2097152,2,358.930038,204.000018
eta_signal.effect_seam.public_sync.depth_100,1,2097152,3,359.703108,204.000018
eta_signal.effect_seam.public_sync.depth_100,1,2097152,4,359.164687,204.000018
eta_signal.effect_seam.public_sync.depth_100,1,2097152,5,360.717763,204.000018
eta_signal.effect_seam.public_sync.depth_100,1,2097152,6,360.168997,204.000018
eta_signal.effect_seam.public_sync.depth_100,1,2097152,7,360.740160,204.000018
eta_signal.effect_seam.public_sync.depth_100,1,2097152,8,360.805984,204.000018
eta_signal.effect_seam.public_sync.depth_100,1,2097152,9,360.545641,204.000018
eta_signal.effect_seam.public_eio.depth_100,1,1048576,1,771.700797,487.000065
eta_signal.effect_seam.public_eio.depth_100,1,1048576,2,769.462758,487.000065
eta_signal.effect_seam.public_eio.depth_100,1,1048576,3,769.222424,487.000065
eta_signal.effect_seam.public_eio.depth_100,1,1048576,4,769.737198,487.000065
eta_signal.effect_seam.public_eio.depth_100,1,1048576,5,771.220130,487.000065
eta_signal.effect_seam.public_eio.depth_100,1,1048576,6,771.140094,487.000065
eta_signal.effect_seam.public_eio.depth_100,1,1048576,7,773.964985,487.000065
eta_signal.effect_seam.public_eio.depth_100,1,1048576,8,775.789204,487.000065
eta_signal.effect_seam.public_eio.depth_100,1,1048576,9,774.877435,487.000065
eta_signal.effect_seam.deep_claim_sync.depth_1,1,8388608,1,118.482234,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,1,8388608,2,118.523019,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,1,8388608,3,118.477828,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,1,8388608,4,118.735784,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,1,8388608,5,118.587991,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,1,8388608,6,118.625394,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,1,8388608,7,118.464953,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,1,8388608,8,118.638297,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,1,8388608,9,118.531943,106.000004
eta_signal.effect_seam.cursor_sync.depth_1,1,2097152,1,411.536689,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,1,2097152,2,413.106932,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,1,2097152,3,413.593284,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,1,2097152,4,411.604901,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,1,2097152,5,408.729534,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,1,2097152,6,410.894927,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,1,2097152,7,407.590846,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,1,2097152,8,407.329594,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,1,2097152,9,413.744942,346.000018
