pair,name,operations,sample,wall_ns,allocated_words
3,incremental.raw.cutoff.depth_10,16777216,9,29.927790,0.000001
3,r2.cutoff.depth_10,16777216,1,30.228321,4.000001
3,r2.cutoff.depth_10,16777216,2,30.311639,4.000001
3,r2.cutoff.depth_10,16777216,3,30.297628,4.000001
3,r2.cutoff.depth_10,16777216,4,30.296690,4.000001
3,r2.cutoff.depth_10,16777216,5,30.269973,4.000001
3,r2.cutoff.depth_10,16777216,6,30.196674,4.000001
3,r2.cutoff.depth_10,16777216,7,29.888810,4.000001
3,r2.cutoff.depth_10,16777216,8,29.545674,4.000001
3,r2.cutoff.depth_10,16777216,9,29.563068,4.000001
3,r2.fan_in.diamond,8388608,1,88.806985,16.000001
3,r2.fan_in.diamond,8388608,2,90.373419,16.000001
3,r2.fan_in.diamond,8388608,3,88.796838,16.000001
3,r2.fan_in.diamond,8388608,4,88.350561,16.000001
3,r2.fan_in.diamond,8388608,5,92.532758,16.000001
3,r2.fan_in.diamond,8388608,6,93.410733,16.000001
3,r2.fan_in.diamond,8388608,7,92.196359,16.000001
3,r2.fan_in.diamond,8388608,8,92.732904,16.000001
3,r2.fan_in.diamond,8388608,9,88.291870,16.000001
3,r1.failed_retry.depth_1,8388608,1,100.565330,8.000001
3,r1.failed_retry.depth_1,8388608,2,99.836456,8.000001
3,r1.failed_retry.depth_1,8388608,3,97.948458,8.000001
3,r1.failed_retry.depth_1,8388608,4,97.793105,8.000001
3,r1.failed_retry.depth_1,8388608,5,97.758885,8.000001
3,r1.failed_retry.depth_1,8388608,6,97.674587,8.000001
3,r1.failed_retry.depth_1,8388608,7,97.473844,8.000001
3,r1.failed_retry.depth_1,8388608,8,98.074679,8.000001
3,r1.failed_retry.depth_1,8388608,9,97.619278,8.000001
3,r1.failed_retry.depth_10,2097152,1,304.518267,8.000005
3,r1.failed_retry.depth_10,2097152,2,299.930093,8.000005
3,r1.failed_retry.depth_10,2097152,3,302.032959,8.000005
3,r1.failed_retry.depth_10,2097152,4,302.539775,8.000005
3,r1.failed_retry.depth_10,2097152,5,302.761009,8.000005
3,r1.failed_retry.depth_10,2097152,6,302.111175,8.000005
3,r1.failed_retry.depth_10,2097152,7,302.443027,8.000005
3,r1.failed_retry.depth_10,2097152,8,300.693046,8.000005
3,r1.failed_retry.depth_10,2097152,9,300.362103,8.000005
3,r1.failed_retry.depth_100,262144,1,2408.332875,8.000038
3,r1.failed_retry.depth_100,262144,2,2458.427844,8.000038
3,r1.failed_retry.depth_100,262144,3,2418.220902,8.000038
3,r1.failed_retry.depth_100,262144,4,2331.115866,8.000038
3,r1.failed_retry.depth_100,262144,5,2332.222721,8.000038
3,r1.failed_retry.depth_100,262144,6,2326.015419,8.000038
3,r1.failed_retry.depth_100,262144,7,2330.974894,8.000038
3,r1.failed_retry.depth_100,262144,8,2332.908480,8.000038
3,r1.failed_retry.depth_100,262144,9,2363.830390,8.000038
3,r2.failed_retry.depth_1,8388608,1,99.591972,8.000001
3,r2.failed_retry.depth_1,8388608,2,101.164574,8.000001
3,r2.failed_retry.depth_1,8388608,3,101.764215,8.000001
3,r2.failed_retry.depth_1,8388608,4,101.091274,8.000001
