pair,name,operations,median_wall_ns,median_allocated_words
2,incremental.raw.changed.depth_10,8388608,102.410496,1e-06
2,incremental.raw.changed.depth_100,524288,1004.386831,1.9e-05
2,incremental.raw.cutoff.depth_10,16777216,29.9469815,1e-06
2,r06.changed.depth_1,16777216,18.744117,4.000001
2,r06.changed.depth_10,16777216,52.331089,4.000001
2,r06.changed.depth_100,1048576,518.068191,4.00001
2,r06.cutoff.depth_10,16777216,18.78054,4.000001
2,r1.changed.depth_1,16777216,34.18279,4.000001
2,r1.changed.depth_10,4194304,122.215511,4.000002
2,r1.changed.depth_100,524288,1153.785433,4.000019
2,r1.cutoff.depth_10,16777216,30.708733,4.000001
2,r1.failed_retry.depth_1,8388608,99.150554,8.000001
2,r1.failed_retry.depth_10,2097152,300.186684,8.000005
2,r1.failed_retry.depth_100,262144,2347.907866,8.000038
2,r1.fan_in.diamond,8388608,94.852822,16.000001
2,r1a.changed.depth_10,8388608,99.30838,4.000001
2,r1a.changed.depth_100,1048576,889.173407,4.00001
2,r1b.changed.depth_1,16777216,31.260072,4.000001
2,r1b.changed.depth_10,8388608,103.191383,4.000001
2,r1b.changed.depth_100,1048576,905.36787,4.00001
2,r1b.cutoff.depth_10,16777216,28.12618,4.000001
2,r1b.failed_retry.depth_1,8388608,91.473822,8.000001
2,r1b.failed_retry.depth_10,2097152,265.814379,8.000005
2,r1b.failed_retry.depth_100,262144,2031.567419,8.000038
2,r1b.fan_in.diamond,8388608,85.832824,16.000001
2,r1i.changed.depth_1,16777216,24.382601,4.000001
2,r1i.changed.depth_10,8388608,69.464789,4.000001
2,r1i.changed.depth_100,1048576,700.005558,4.00001
2,r1i.cutoff.depth_10,16777216,22.83771,4.000001
2,r1i.failed_retry.depth_1,8388608,74.009051,8.000001
2,r1i.failed_retry.depth_10,4194304,221.085827,8.000002
2,r1i.failed_retry.depth_100,524288,1672.367034,8.000019
2,r1i.fan_in.diamond,8388608,70.885534,16.000001
2,r1m.changed.depth_1,16777216,30.375304,4.000001
2,r1m.changed.depth_10,8388608,101.525529,4.000001
2,r1m.changed.depth_100,1048576,901.311751,4.00001
2,r1m.cutoff.depth_10,16777216,27.677359,4.000001
2,r1m.failed_retry.depth_1,8388608,87.600597,8.000001
2,r1m.failed_retry.depth_10,2097152,274.362037,8.000005
2,r1m.failed_retry.depth_100,262144,1985.015842,8.000038
2,r1m.fan_in.diamond,8388608,79.458346,16.000001
2,r1n.changed.depth_1,16777216,25.483374,4.000001
2,r1n.changed.depth_10,16777216,58.438175,4.000001
2,r1n.changed.depth_100,1048576,544.031082,4.00001
2,r1n.cutoff.depth_10,16777216,25.405157,4.000001
2,r1w.changed.depth_10,4194304,109.226505,4.000002
2,r2.changed.depth_1,16777216,33.914972,4.000001
2,r2.changed.depth_10,4194304,122.689244,4.000002
2,r2.changed.depth_100,524288,1031.999545,4.000019
2,r2.cutoff.depth_10,16777216,30.205541,4.000001
2,r2.failed_retry.depth_1,8388608,99.668853,8.000001
2,r2.failed_retry.depth_10,2097152,294.118422,8.000005
2,r2.failed_retry.depth_100,262144,2207.611033,8.000038
2,r2.fan_in.diamond,8388608,91.387875,16.000001
2,r2m.changed.depth_1,16777216,32.109497,4.000001
2,r2m.changed.depth_10,8388608,108.890561,4.000001
2,r2m.changed.depth_100,1048576,908.929906,4.00001
2,r2m.cutoff.depth_10,16777216,29.347945,4.000001
2,r2m.failed_retry.depth_1,8388608,84.109303,8.000001
2,r2m.failed_retry.depth_10,2097152,253.626808,8.000005
2,r2m.failed_retry.depth_100,262144,1852.333298,8.000038
2,r2m.fan_in.diamond,8388608,84.922902,16.000001
3,incremental.raw.changed.depth_1,16777216,32.9535225,1e-06
3,incremental.raw.changed.depth_10,8388608,102.0131035,1e-06
3,incremental.raw.changed.depth_100,524288,996.694325,1.9e-05
3,incremental.raw.cutoff.depth_10,16777216,29.831646499999998,1e-06
3,r06.changed.depth_1,16777216,19.205274,4.000001
3,r06.changed.depth_10,16777216,52.389922,4.000001
3,r06.changed.depth_100,1048576,523.668405,4.00001
3,r06.cutoff.depth_10,16777216,19.20796,4.000001
3,r1.changed.depth_1,16777216,34.418875,4.000001
3,r1.changed.depth_10,4194304,128.472323,4.000002
3,r1.changed.depth_100,524288,1093.715582,4.000019
